Id,Nom,Bibliothèque de formes,ID de page,Contenu par,Groupe,Source de la ligne,Destination de la ligne,Source de la flèche,Destination de la flèche,Labels,Statut,Zone de texte 1,Zone de texte 2,Zone de texte 3,Zone de texte 4,Zone de texte 5,Zone de texte 6,Zone de texte 7,Zone de texte 8,Zone de texte 9,Zone de texte 10,Zone de texte 11,Zone de texte 12,Zone de texte 13,Zone de texte 14,Zone de texte 15,Zone de texte 16,Zone de texte 17,Zone de texte 18,Zone de texte 19,Zone de texte 20,Zone de texte 21,Zone de texte 22,Zone de texte 23,Zone de texte 24,Zone de texte 25,Zone de texte 26,Zone de texte 27,Zone de texte 28,Zone de texte 29,Zone de texte 30,Zone de texte 31,Zone de texte 32,Zone de texte 33,Zone de texte 34,Zone de texte 35,Zone de texte 36,Zone de texte 37,Zone de texte 38,Zone de texte 39,Zone de texte 40,Zone de texte 41,Zone de texte 42,Zone de texte 43,Zone de texte 44,Zone de texte 45,Zone de texte 46,Zone de texte 47,Zone de texte 48,Zone de texte 49,Zone de texte 50,Zone de texte 51,Zone de texte 52,Zone de texte 53,Zone de texte 54,Zone de texte 55,Zone de texte 56,Zone de texte 57,Zone de texte 58,Commentaires,Notes,Identification de la forme,SpreadsheetColumnParentKey,SpreadsheetRowParentKey
84,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,"company_address (TranslatableModel, CompanyOwned, AbstractAudit)",MVP,id PK,bigint,MVP,"company_id FK 
(de CompanyOwned)",bigint ,MVP,location_id FK,bigint,MVP,  street_address,varchar NULLABLE d=NULL,MVP,  extended_address,varchar NULLABLE d=NULL,MVP,  locality,varchar NULLABLE d=NULL,MVP,  region,varchar NULLABLE d=NULL,MVP,country FK,bigint,MVP,postal_code,varchar NULLABLE d=NULL,V1,time_zone,varchar NULLABLE d=NULL,MVP,latitude,"decimal(9,6) NULLABLE d=NULL",MVP,longitude,"decimal(9,6) NULLABLE d=NULL",,,,,,,,,,,,,,,,,,,,,,,,Xasm~uUwglwC,COLUMN,ROW
85,Rectangle,Formes Lucidspark,2,3,,,,,,,,"status ENUM
PENDING
CANCEL_BY_SENDER
IN TRANSIT
REFUSED - BACK TO SENDER
NEVER RECEIVED
DONE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zaymRKvdQ-ys,COLUMN,ROW
86,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,company_country (TranslatableModel),MVP,id PK,bigint,MVP,iso_code,varchar(2),MVP,  name,varchar(100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HDGmKcAeePcg,COLUMN,ROW
87,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,access_roledelegatepermissions,POC,id PK,int AUTO,POC,role_id FK,int,POC,delegate_perm_id FK,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gjRmV1BK61Pg,COLUMN,ROW
88,Rectangle,Formes Lucidspark,2,3,,,,,,,,"target_table ENUM
access_role
access_rolepermissions
access_roledelegatepermissions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IzrnpqB3mzIT,COLUMN,ROW
89,Rectangle,Formes Lucidspark,2,3,,,,,,,,"preferred_language ENUM
selon liste SETTINGS + DEFAULT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EFsnWOCKeIEb,COLUMN,ROW
90,Rectangle,Formes Lucidspark,2,3,,,,,,,,"preferred_home_page ENUM
DASHBOARD
...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p9unf7pi5RXJ,COLUMN,ROW
91,Rectangle,Formes Lucidspark,2,3,,,,,,,,"category ENUM
ACCESS
DELEGATE
USERS
COMPANY
CATALOGUE
INVENTORY
MOVEMENT
REPORTING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eb1nCe65Am7I,COLUMN,ROW
92,Ligne,,2,,,32,31,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tcAh-KUdFa..,,
93,Ligne,,2,,,34,33,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QvAhV0X.Ex-y,,
94,Ligne,,2,,,39,38,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xRFi8l1TFLJ~,,
95,Ligne,,2,,,40,38,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRFipEGXL1Nb,,
96,Ligne,,2,,,41,28,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aBNiG.JrtUIz,,
97,Ligne,,2,,,42,28,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TV4iu2.tsziJ,,
98,Ligne,,2,,,75,74,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5QDj9qDoMf.I,,
99,Ligne,,2,,,76,80,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BSDjYXXGMQke,,
100,Ligne,,2,,,17,82,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RK6lxqwADw-1,,
101,Ligne,,2,,,37,85,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QhBm5A4V_Nmc,,
102,Ligne,,2,,,33,88,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EArne5sNRcFw,,
103,Ligne,,2,,,16,90,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-unrvWhdfEL,,
104,Ligne,,2,,,16,89,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-unXf43Dvee,,
105,Ligne,,2,,,28,91,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0d1nLAdoa~2y,,
